"Tags","Testname","Result","Note"
"TS_PLCB_51 ","Vị trí của AR tại detail","skipped","----DATA ISSUE ----Not found VOD required RANDOM FREE WITH_AR NO_WC IS_PLAY_0 VOD expected [true] but found [false]"
"TS_PLCB_52 ","Vị trí và nội dung của WC tại detail","passed",""
"TS_PLCB_01 ","Kiểm tra hiển thị phân loại: K, T13, T16, T18 tại các block nội dung","passed",""
"TS_PLCB_02 ","Kiểm tra hiển thị phân loại: K, T13, T16, T18 tại highlight","passed",""
"TS_PLCB_03 ","Kiểm tra hiển thị phân loại: K, T13, T16, T18 tại block đang xem","passed",""
"TS_PLCB_04 ","Kiểm tra hiển thị phân loại: K, T13, T16, T18 tại block theo dõi","passed",""
"TS_PLCB_06 ","Kiểm tra hiển thị phân loại: K, T13, T16, T18 tại block sắp công chiếu","skipped","----DATA ISSUE ----Api Trang chủ does not return Sắp công chiếu expected [true] but found [false]"
"TS_PLCB_08 ","Kiểm tra hiển thị phân loại: P, K, T13, T16, T18 tại block xu hướng gần đây","passed",""
"TS_PLCB_09 ","Kiểm tra hiển thị phân loại: P, K, T13, T16, T18 tại màn hình detail playlist","skipped","----DATA ISSUE ----Not found PLAYLIST required RANDOM WITH_AR PLAYLIST expected [true] but found [false]"
"TS_PLCB_010 ","Kiểm tra metadata AR của các nội dung của Block nội dung liên quan","passed",""
"TS_PLCB_011 ","Kiểm tra hiển thị phân loại: P, K, T13, T16, T18 tại màn hình Diễn viên & Đạo diễn","passed",""
"TS_PLCB_73 ","Format hiển thị của AR+ WC tại player","passed",""
"TS_PLCB_78 ","Kiểm tra animation của AR+ WC tại player sau 10s","passed",""
"TS_PLCB_79 ","Kiểm tra animation của AR, trường hợp không setup WC","skipped","----DATA ISSUE ----Not found VOD required RANDOM FREE WITH_AR_NOT_P NO_WC VOD expected [true] but found [false]"
"TS_PLCB_130 ","Kiểm tra animation của AR, trường hợp không setup WC","skipped","----DATA ISSUE ----Not found VOD required RANDOM FREE WITH_AR_NOT_P NO_WC VOD expected [true] but found [false]"
