"Tags","Testname","Result","Note"
"TS_VOD_111 ","Kiểm tra nhấn số tập hợp lệ ở detail VOD miễn phí/SMAX/SVIP có danh sách tập khi chưa đăng nhập","failed","INFO BLOCK CATEGORY: Đang xem, select block condition: RANDOM"
"TS_VOD_121 ","Kiểm tra nhấn số tập ở detail VOD không có danh sách tập khi chưa đăng nhập tài khoản","passed",""
"TS_VOD_125 ","Kiểm tra nhấn số tập hợp lệ ở detail VOD vào player miễn phí/SMAX/SVIP có danh sách tập khi chưa đăng nhập","passed",""
"TS_VOD_113 ","Kiểm tra nhấn số tập hợp lệ ở detail VOD miễn phí có danh sách tập khi đã đăng nhập","passed",""
"TS_VOD_115 ","Kiểm tra nhấn số tập hợp lệ ở detail VOD thuộc gói SMAX có danh sách tập khi đã đăng nhập tài khoản không gói/hết hạn gói","passed",""
"TS_VOD_117 ","Kiểm tra nhấn số tập hợp lệ ở detail VOD thuộc gói SMAX có danh sách tập khi đã đăng nhập tài khoản có gói SMAX/SVIP","passed",""
"TS_VOD_118 ","Kiểm tra nhấn số tập hợp lệ chưa có bookmark ở detail VOD có danh sách tập","passed",""
"TS_VOD_120 ","Kiểm tra nhấn số tập hợp lệ có bookmark ở detail VOD có danh sách tập","passed",""
"TS_VOD_127 ","Kiểm tra nhấn số tập hợp lệ ở detail VOD vào player miễn phí có danh sách tập khi đã đăng nhập","passed",""
"TS_VOD_132 ","Kiểm tra nhấn số tập hợp lệ chưa có bookmark ở detail VOD vào player có danh sách tập khi đã đăng nhập tài khoản","passed",""
"TS_VOD_133 ","Kiểm tra nhấn số tập hợp lệ có bookmark ở detail VOD vào player có danh sách tập khi đã đăng nhập tài khoản","passed",""
"TS_VOD_87 ","Kiểm tra chọn VOD bất kỳ thuộc các danh mục Giải trí / Học tập / Thể thao / Thiếu nhi / Âm nhạc / Podcast khi chưa đăng nhập","passed",""
"TS_VOD_88 ","Kiểm tra detail VOD của các danh mục mục Giải trí / Học tập / Thể thao / Thiếu nhi / Âm nhạc / Podcast khi đã đăng nhập","passed",""
"TS_VOD_89 ","Tiếp tục xem - Kiểm tra nhấn button Tiếp tục xem ở detail VOD vào player","passed",""
