"Tags","Testname","Result","Note"
"","Kiểm tra tạo mới profile khi đang sử dụng profile thường (chưa tạo đủ 5 profile)","passed",""
"","Kiểm tra tạo mới profile khi đang sử dụng profile thường (khi đã tạo đủ 5 profiles)","passed",""
"","Kiểm tra tạo mới profile khi đang sử dụng profile kid","failed","Element Checkbox Profile Kid Index 1 not null
"">>>> Element Checkbox Profile Kid Index 1 not null actual: false ,expect: true"
"","Kiểm tra màn hình chỉnh sửa tên ở màn hình Tạo hồ sơ","passed",""
"","Kiểm tra bật mode trẻ em ở màn hình Tạo hồ sơ","passed",""
"","Kiểm tra tắt mode trẻ em ở màn hình Tạo hồ sơ","passed",""
"","Kiểm tra chọn filed Mã PIN hồ sơ khi chưa thiết lập PIN trước đó","passed",""
"","Kiểm tra chọn filed Mã PIN hồ sơ khi đã thiết lập PIN trước đó","passed",""
"","Kiểm tra Đổi mã PIN hồ sơ tại màn hình Mã PIN hồ sơ","passed",""
"","Kiểm tra Đổi mã PIN hồ sơ tại màn hình Mã PIN hồ sơ","passed",""
"","Kiểm tra chọn Xóa mã PIN hồ sơ tại màn hình Thiết lập mã PIN","passed",""
"","Kiểm tra bật kid mode sau khi đã thiết lập mã PIN profile","passed",""
"","Kiểm tra tạo mới hồ sơ trẻ em thành công","failed",""
"","Kiểm tra tạo mới hồ sơ thường không PIN","failed",""
"","Kiểm tra tạo mới hồ sơ thường có PIN","failed",""
"TS_MP_0184 ","Kiểm tra chọn chỉnh sửa profile thường không PIN đang sử dụng","passed",""
"TS_MP_0185 ","Kiểm tra chọn chỉnh sửa profile thường có PIN đang sử dụng","passed",""
"TS_MP_0186 ","Kiểm tra chọn chỉnh sửa hồ sơ thường không PIN khác profile đang sử dụng","passed",""
"TS_MP_0187 ","Kiểm tra chọn chỉnh sửa hồ sơ thường có PIN khác profile đang sử dụng","passed",""
"TS_MP_0188 ","Kiểm tra chọn chỉnh sửa hồ sơ kid","passed",""
"TS_MP_0189 ","Kiểm tra chỉnh sửa tên người dùng hợp lệ","failed","Check [Image Lock] is displayed
"">>>> Check [Image Lock] is displayed actual: false ,expect: true"
"TS_MP_0195 ","Kiểm tra thiết lập mã PIN profile thường chưa có mã PIN","passed",""
"TS_MP_0199 ","Kiểm tra thay đổi mã PIN hồ sơ đã thiết lập mã PIN","passed",""
"TS_MP_0202 ","Kiểm tra xóa thiết lập PIN profile","passed",""
"TS_MP_0205 ","Kiểm tra chuyển đổi profile kid thành profile thường không PIN","failed","Check [Label Input Password] is displayed
"">>>> Check [Label Input Password] is displayed actual: false ,expect: true
Check [Password] is displayed
"">>>> Check [Password] is displayed actual: false ,expect: true
Check [Label Message] is displayed
"">>>> Check [Label Message] is displayed actual: false ,expect: true
Check [Keyboard Common] is displayed
"">>>> Check [Keyboard Common] is displayed actual: false ,expect: true
Check [Button Continue] is displayed
"">>>> Check [Button Continue] is displayed actual: false ,expect: true
Check [Button Forget Password] is displayed
"">>>> Check [Button Forget Password] is displayed actual: false ,expect: true
Element Button Continue not null
"">>>> Element Button Continue not null actual: false ,expect: true"
"TS_MP_0206 ","Kiểm tra chuyển đổi profile kid thành profile thường có PIN","failed","Check [Label Input Password] is displayed
"">>>> Check [Label Input Password] is displayed actual: false ,expect: true
Check [Password] is displayed
"">>>> Check [Password] is displayed actual: false ,expect: true
Check [Label Message] is displayed
"">>>> Check [Label Message] is displayed actual: false ,expect: true
Check [Keyboard Common] is displayed
"">>>> Check [Keyboard Common] is displayed actual: false ,expect: true
Check [Button Continue] is displayed
"">>>> Check [Button Continue] is displayed actual: false ,expect: true
Check [Button Forget Password] is displayed
"">>>> Check [Button Forget Password] is displayed actual: false ,expect: true
Element Button Continue not null
"">>>> Element Button Continue not null actual: false ,expect: true"
"TS_MP_0210 ","Kiểm tra chỉnh sửa tên profile kid hợp lệ","failed","Element Option 'Thông tin' in menu not null
"">>>> Element Option 'Thông tin' in menu not null actual: false ,expect: true"
"TS_MP_016 ","Kiểm tra giao diện home app khi sử dụng profile Thường","failed","ERROR: Cannot find [Left menu [HGV] in Homepage]"
"TS_MP_017 ","Kiểm tra giao diện home app khi sử dụng profile kid","failed","Element Option 'Thông tin' in menu not null
"">>>> Element Option 'Thông tin' in menu not null actual: false ,expect: true"
"","Kiểm tra chọn item profile mode khi chưa login tài khoản","passed",""
"","Kiểm tra logout-login tài khoản luôn vào profile thường mặc định","passed",""
"TS_MP_0243 ","Kiểm tra màn hình Nhập mật khẩu tài khoản khi chọn chỉnh sửa profile khác","passed",""
"TS_MP_0244 ","Kiểm tra màn hình Nhập mật khẩu tài khoản ở Quên mã PIN","passed",""
"TS_MP_0247 ","Kiểm tra Đặt lại mật khẩu khi chuyển sang profile thường có pin từ quick menu","passed",""
"TS_MP_0252 ","Kiểm tra Đặt lại mật khẩu khi chuyển sang profile thường có pin ở Ai đang xem","passed",""
"TS_MP_0257 ","Kiểm tra Đặt lại mật khẩu khi chỉnh sửa profile khác","passed",""
"TS_MP_0236 ","Kiểm tra chọn button Quên mã pin, khi chọn chuyển hồ sơ từ quick menu","failed","Element Button Locked Profile not null
"">>>> Element Button Locked Profile not null actual: false ,expect: true"
"TS_MP_0237 ","Kiểm tra chọn button Quên mã pin, khi chọn chuyển hồ sơ từ Ai đang xem","failed","Element Button Locked Profile not null
"">>>> Element Button Locked Profile not null actual: false ,expect: true"
"TS_MP_0241 ","Kiểm tra thiết lập lại mã Pin hồ sơ thành công","failed","Element Button Locked Profile not null
"">>>> Element Button Locked Profile not null actual: false ,expect: true"
"","Kiểm tra giao diện popup Quick menu. Trường hợp đang sử dụng profile thường","failed","Check [Checkbox Profile Kid Index 1] is displayed
"">>>> Check [Checkbox Profile Kid Index 1] is displayed actual: false ,expect: true"
"","Kiểm tra giao diện popup Quick menu. Trường hợp đang sử dụng profile kid","failed","Element Checkbox Profile Kid Index 1 not null
"">>>> Element Checkbox Profile Kid Index 1 not null actual: false ,expect: true"
"","Kiểm tra chọn tài khoản từ popup Quick menu","passed",""
"","Kiểm tra chọn cài đặt từ popup Quick menu","passed",""
"","Kiểm tra chọn Quản lý hồ sơ","passed",""
"TS_MP_0100 ","Kiểm tra chuyển profile thành công từ profile thường sang profile thường không có mã Pin tại Quick menu","passed",""
"TS_MP_0101 ","Kiểm tra chuyển profile thành công từ profile thường sang profile thường không có mã Pin tại Ai đang xem?","passed",""
"TS_MP_0104 ","Kiểm tra chuyển profile thành công khi chuyển profile từ profile thường sang profile thường có mã Pin tại Quick menu","passed",""
"TS_MP_0107 ","Kiểm tra chuyển profile thành công khi chuyển profile từ profile thường sang profile thường có mã Pin tại Ai đang xem?","passed",""
"TS_MP_0109 ","Kiểm tra chuyển profile từ profile thường sang profile kid tại Ai đang xem?","failed","Element Option 'Thông tin' in menu not null
"">>>> Element Option 'Thông tin' in menu not null actual: false ,expect: true"
"TS_MP_0108 ","Kiểm tra chuyển đổi từ profile kid sang profile thường tại quick menu","failed","ERROR: Cannot find [Text [Phone] in Login Page]"
"TS_MP_0120 ","Kiểm tra chuyển profile thành công khi chuyển profile từ profile kid sang profile thường có mã Pin tại Quick menu","failed","Element Option 'Thông tin' in menu not null
"">>>> Element Option 'Thông tin' in menu not null actual: false ,expect: true"
"TS_MP_0123 ","Kiểm tra chuyển profile thành công khi chuyển profile từ profile kid sang profile thường có mã Pin tại Ai đang xem?","failed","Element Option 'Thông tin' in menu not null
"">>>> Element Option 'Thông tin' in menu not null actual: false ,expect: true"
"TS_MP_0124 ","Kiểm tra chuyển profile thành công từ profile kid sang profile kid tại Quick menu","failed","Element Option 'Thông tin' in menu not null
"">>>> Element Option 'Thông tin' in menu not null actual: false ,expect: true"
"TS_MP_0125 ","Kiểm tra chuyển profile thành công từ profile kid sang profile kid tại Ai dang xem","failed","Element Option 'Thông tin' in menu not null
"">>>> Element Option 'Thông tin' in menu not null actual: false ,expect: true"
