"Tags","Testname","Result","Note"
"TS_TT_79 ","Kiểm tra chọn một thể loại bất kỳ","failed","Element Option 'Thông tin' in menu not null
"">>>> Element Option 'Thông tin' in menu not null actual: false ,expect: true"
"TS_TT_80 ","Kiểm tra play VOD trong trang con của một thể loại bất kỳ","passed",""
"TS_TT_05 ","Kiểm tra play VOD ở block Highlight khi chưa đăng nhập tài khoản","failed","Element Button [Play] not null
"">>>> Element Button [Play] not null actual: false ,expect: true"
"TS_TT_04 ","Kiểm tra play VOD ở block Highlight khi đã đăng nhập tài khoản","failed","Element Button [Play] not null
"">>>> Element Button [Play] not null actual: false ,expect: true"
"TS_TT_147 ","Kiểm tra play VOD ở Block không có background","passed",""
"TS_TT_148 ","Kiểm tra item Xem tất cả khi Block không có backgroud","passed",""
"TS_TT_149 ","Kiểm tra play VOD ở mục Xem tất cả của Block không có backgroud","passed",""
"TS_TT_142 ","Kiểm tra play VOD ở Block có background","passed",""
"TS_TT_143 ","Kiểm tra item Xem tất cả khi Block có background","passed",""
"TS_TT_144 ","Kiểm tra play VOD ở mục Xem tất cả của Block có background","passed",""
"TS_TT_114 ","Kiểm tra play VOD ở các block của giải đấu Champions League","passed",""
"TS_TT_116 ","Kiểm tra play VOD ở màn hình Xem tất cả","passed",""
"TS_TT_159 ","Kiểm tra Block Nội dung liên quan","passed",""
"TS_TT_126 ","Kiểm tra play VOD ở các block của giải đấu Europa League","passed",""
"TS_TT_128 ","Kiểm tra play VOD ở màn hình Xem tất cả","passed",""
"TS_TT_138 ","Kiểm tra play VOD ở các block của giải đấu Premier League","passed",""
"TS_TT_140 ","Kiểm tra play VOD ở màn hình Xem tất cả","passed",""
"TS_TT_01 ","Kiểm tra mở danh mục Thể thao khi chọn ở top left navigation bar","passed",""
"TS_TT_02 ","Kiểm tra mở danh mục Thể thao khi chọn tại block Danh mục ở Trang chủ","passed",""
"TS_TT_03 ","Kiểm tra mở danh mục Thể thao khi chọn tại mega app","passed",""
"TS_TT_90 ","Kiểm tra play VOD ở các block của giải đấu V.League 1","skipped","----DATA ISSUE ----Api  does not return Page: V.League 2023/24 expected [true] but found [false]"
"TS_TT_92 ","Kiểm tra play VOD ở màn hình Xem tất cả","skipped","----DATA ISSUE ----Api  does not return Page: V.League 2023/24 expected [true] but found [false]"
