"Tags","Testname","Result","Note"
"TS_PLAYER_001","Kiểm tra giao diện player Phim lẻ","passed","test"
"TS_PLAYER_002","Kiểm tra giao diện player Phim bộ","passed",""
"TS_PLAYER_003","Kiểm tra giao diện player Playlist","passed",""
"TS_PLAYER_004","Tua có thumnail - Kiểm tra nhấn button Left thực hiện tua lùi, khi VOD đang play và không hiện player","passed",""
"TS_PLAYER_005 ","Kiểm tra giao diện player Preview VOD","passed",""
"TS_PLAYER_006 ","Kiểm tra ẩn player khi bắt đầu vào xem VOD","passed",""
"TS_PLAYER_007 ","Kiểm tra hiển thị button Bỏ qua giới thiệu khi chọn button Xem từ đầu","passed",""
"TS_PLAYER_008 ","Kiểm tra tự động tắt button Bỏ qua giới thiệu khi không thao tác","passed",""
"TS_PLAYER_009 ","Kiểm tra ẩn player khi nhấn Back trên remote","passed",""
"TS_PLAYER_010 ","Kiểm tra ẩn player khi đang focus vào các button và nhấn Back trên remote","passed",""
"TS_PLAYER_011 ","Kiểm tra hiển thị button Bỏ qua giới thiệu khi chọn Xem ngay/ Chọn tập","passed",""
"TS_PLAYER_012","Kiểm tra ẩn player khi không thao tác trong 10s","passed",""
"TS_PLAYER_013 ","Kiểm tra thoát player khi nhấn button back trên remote","passed",""
"TS_PLAYER_014","VOD không có bookmark (đang xem) - Kiểm tra button khi VOD đang pause","passed",""
"TS_PLAYER_015 ","Kiểm tra tắt button Bỏ qua giới thiệu khi nhấn OK","passed",""
"TS_PLAYER_016","Kiểm tra button khi play từ bookmark và VOD đang play","passed",""
"TS_PLAYER_017 ","Kiểm tra button khi seek VOD và VOD đang pause","passed",""
"TS_PLAYER_018 ","Kiểm tra trường hợp đang pause next tập có bookmark","passed",""
"TS_PLAYER_019 ","Kiểm tra trường hợp đang pause next tập không có bookmark","passed",""
"TS_PLAYER_020 ","Tua không có thumnail - Kiểm tra nhấn button Right thực hiện tua tới, khi VOD đang play và không hiện player","passed",""
"TS_PLAYER_021 ","Kiểm tra trường hợp đang play pre tập có bookmark","passed",""
"TS_PLAYER_022 ","Kiểm tra trường hợp đang pause pre tập có bookmark","passed",""
"TS_PLAYER_023 ","Kiểm tra trường hợp đang pause pre tập không có bookmark","passed",""
"TS_PLAYER_024 ","Kiểm tra giao diện màn hình Auto next tập","passed",""
"TS_PLAYER_025 ","Kiểm tra chọn button Xem tập tiếp theo khi tập tiếp theo có bookmark","passed",""
"TS_PLAYER_026 ","Kiểm tra trường hợp play hết tập auto next tập kế tiếp có bookmark","passed",""
"TS_PLAYER_027 ","Tua không có thumnail - Kiểm tra nhấn button Left thực hiện tua lùi, khi VOD đang play và không hiện player","passed",""
"TS_PLAYER_028 ","Kiểm tra nhấn số tập hợp lệ, trường hợp tập có 3 chữ số","passed","----DATA ISSUE ----Not found VOD required RANDOM SOME_FREE_AND_SOME_PREVIEW IGNORE_INTRO_CONDITION VOD expected [true] but found [false]"
"TS_PLAYER_029 ","Kiểm tra nhấn số tập hợp lệ tại VOD phim bộ. Trường hợp tập chọn đã yêu cầu mua gói, với tài khoản đang login chưa có gói","skipped",""
