"Tags","Testname","Result","Note"
"TS_TC_055 ","Tập 1 xem free, next qua tập 2","skipped","INFO BLOCK CATEGORY: Việt Nam, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Ván Cờ Danh Vọng of Block: Việt Nam
Check [Player Progress in Player Page] present
"">>>> Check [Player Progress in Player Page] present actual: false ,expect: true
----DATA ISSUE ----Ván Cờ Danh Vọng khong co preview with fee expected [true] but found [false]"
"TS_TC_056 ","Tập 1 xem free, next qua tập 2, ấn back trên remote","skipped","INFO BLOCK CATEGORY: Việt Nam, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Ván Cờ Danh Vọng of Block: Việt Nam
----DATA ISSUE ----Ván Cờ Danh Vọng khong co preview with fee expected [true] but found [false]"
"TS_TC_058 ","Đang play phim có preview, chọn lại chính tập đó","skipped","INFO BLOCK CATEGORY: Việt Nam, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Ván Cờ Danh Vọng of Block: Việt Nam
----DATA ISSUE ----RANDOM WITH_PREVIEW PLAY_EPISODE_WITH_PREVIEW_FEE with item VOD having list size 0 =0 expected [true] but found [false]"
"TS_TC_025 ","Kiểm tra giao diện player khi ấn vào button Đăng ký, chọn gói bất kỳ và đăng nhập thành công","passed",""
"TS_TC_026 ","Kiểm tra giao diện player khi ấn vào button Đăng ký, chọn gói bất kỳ và Thanh toán thành công","passed",""
"TS_TC_029 ","Kiểm tra giao diện player sau khi snackbar biến mất","failed","INFO BLOCK CATEGORY: Tạo topic PL mới, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Nghi Lễ Chết Chóc of Block: Tạo topic PL mới
Check [Button [Dang ky] in Player Page] has text: [Đăng ký], actual Text: Thuê phim
"">>>> Check [Button [Dang ky] in Player Page] has text: [Đăng ký], actual Text: Thuê phim actual: Thuê phim ,expect: Đăng ký"
"TS_TC_032 ","Kiểm tra giao diện player khi ấn thao tác mở player trên remote, chọn button đăng ký gói","passed",""
"TS_TC_035 ","Kiểm tra giao diện player sau khi snackbar biến mất, seek tới lui","failed","INFO BLOCK CATEGORY: Hoa ngữ, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Chiếc Bật Lửa Và Váy Công Chúa of Block: Hoa ngữ"
"TS_TC_038 ","Kiểm tra giao diện player khi xem hết 5p","failed","INFO BLOCK CATEGORY: Hành động, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Tây Du Ký 3: Nữ Nhi Quốc of Block: Hành động"
"TS_TC_071 ","Snack Bar - Kiểm tra khi ấn vào button đăng ký snackbar","passed",""
"TS_TC_074 ","Player control - Kiểm tra khi ấn vào button đăng ký ở player","passed",""
"TS_TC_077 ","Giao diện khi xem hết 5p - Kiểm tra khi ấn vào button đăng ký","failed","INFO BLOCK CATEGORY: Hoa ngữ, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Chiếc Bật Lửa Và Váy Công Chúa of Block: Hoa ngữ"
"TS_TC_052 ","Kiểm tra giao diện player khi xem hết 5p khi login tài khoản không có gói phù hợp","failed","INFO BLOCK CATEGORY: Tạo topic PL mới, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Nghi Lễ Chết Chóc of Block: Tạo topic PL mới"
"TS_TC_004 ","Kiểm tra khi ấn vào button xem ngay khi chưa login - phim có set preview","passed",""
"TS_TC_005 ","Kiểm tra khi ấn vào button xem ngay khi chưa login - phim không set preview","passed",""
