"Tags","Testname","Result","Note"
"TS_Live_030 ","Kiểm tra chọn sự kiện trong page trực tiếp có phí - trường hợp giờ phát sóng >1h","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT NOT FREE expected [true] but found [false]"
"TS_Live_031 ","Kiểm tra chọn sự kiện trong page trực tiếp có phí - trường hợp giờ phát sóng <1h","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT NOT FREE expected [true] but found [false]"
"TS_Live_045 ","Kiểm tra chọn Đặt lịch nhắc","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX expected [true] but found [false]"
"TS_Live_065 ","Kiểm tra login thành công tài khoản smax/ svip từ popup yêu cầu đăng nhập khi chọn Đăng ký của sự kiện trực tiếp thuộc gói smax/ svip chưa đến giờ phát sóng","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX expected [true] but found [false]"
"TS_Live_069 ","Kiểm tra đăng ký sự kiện trực tiếp thuộc gói smax/ svip chưa đến giờ phát sóng thành công","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX expected [true] but found [false]"
"TS_Live_074 ","Kiểm tra chọn Hủy lịch nhắc","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX expected [true] but found [false]"
"TS_Live_075 ","Kiểm tra chọn Đặt lịch nhắc","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX expected [true] but found [false]"
"TS_Live_049 ","Kiểm tra chọn sự kiện trong page trực tiếp thuộc gói smax/ svip - trường hợp giờ phát sóng >1h","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX/SVIP expected [true] but found [false]"
"TS_Live_052 ","Kiểm tra chọn button Đăng ký tại detail sự kiện trực tiếp khi chưa login tài khoản","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX/SVIP expected [true] but found [false]"
"TS_Live_053 ","Kiểm tra chọn button Đặt lịch nhắc tại detail sự kiện trực tiếp khi chưa login tài khoản","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX/SVIP expected [true] but found [false]"
"TS_Live_050 ","Kiểm tra chọn sự kiện trong page trực tiếp thuộc gói smax/ svip- trường hợp giờ phát sóng <1h","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX/SVIP expected [true] but found [false]"
"TS_Live_051 ","Kiểm tra chọn sự kiện trong page trực tiếp thuộc gói smax/ svip- trường hợp đã đến giờ phát sóng","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX/SVIP expected [true] but found [false]"
"TS_Live_062 ","Kiểm tra login thành công tài khoản không có gói smax/ svip từ popup yêu cầu đăng nhập khi chọn Đăng ký của sự kiện trực tiếp thuốc gói smax/ svip đã đến giờ phát sóng","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX/SVIP expected [true] but found [false]"
"TS_Live_059 ","Kiểm tra login thành công tài khoản không có gói smax/ svip từ popup yêu cầu đăng nhập khi chọn Đặt lịch nhắc của trực tiếp chưa đến giờ phát sóng","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX/SVIP expected [true] but found [false]"
"TS_Live_063 ","Kiểm tra login thành công tài khoản Không có gói svip từ popup yêu cầu đăng nhập khi chọn Đăng ký của sự kiện trực tiếp thuộc gói svip chưa đến giờ phát sóng","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SVIP expected [true] but found [false]"
"TS_Live_066 ","Kiểm tra login thành công tài khoản svip từ popup yêu cầu đăng nhập khi chọn Đăng ký của sự kiện trực tiếp thuộc gói svip chưa đến giờ phát sóng","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SVIP expected [true] but found [false]"
"TS_Live_070 ","Kiểm tra đăng ký sự kiện trực tiếp thuộc gói svip chưa đến giờ phát sóng thành công","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SVIP expected [true] but found [false]"
"TS_Live_064 ","Kiểm tra login thành công tài khoản không có gói svip từ popup yêu cầu đăng nhập khi chọn Đặt lịch nhắc của trực tiếp đã đến giờ phát sóng","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SVIP expected [true] but found [false]"
"TS_Live_068 ","Kiểm tra login thành công tài khoản svip từ popup yêu cầu đăng nhập khi chọn Đăng ký của sự kiện trực tiếp đã đến giờ phát sóng","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SVIP expected [true] but found [false]"
"TS_Live_072 ","Kiểm tra đăng ký sự kiện trực tiếp thuộc gói svip đã đến giờ phát sóng thành công","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SVIP expected [true] but found [false]"
"TS_Live_067 ","Kiểm tra login thành công tài khoản smax/ svip từ popup yêu cầu đăng nhập khi chọn Đăng ký của sự kiện trực tiếp đã đến giờ phát sóng","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX expected [true] but found [false]"
"TS_Live_071 ","Kiểm tra đăng ký sự kiện trực tiếp thuộc gói smax/ svip đã đến giờ phát sóng thành công","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING EVENT SMAX expected [true] but found [false]"
